,INPUT,OUTPUT,IN_PACKETS,IN_OCTETS,TCP_FLAGS,PROTO,TOS,SRC_AS,DST_AS,SRC_MASK,DST_MASK
394,0,8,4,320,77,6,192,0,0,0,0
395,0,8,1,91,0,17,192,0,0,0,0
396,8,0,1,63,0,17,0,0,0,0,0
397,8,0,1,63,0,17,0,0,0,0,0
398,0,8,1,63,0,17,0,0,0,0,0
399,0,8,1,63,0,17,0,0,0,0,0
400,8,0,1,63,0,17,0,0,0,0,0
401,0,8,1,63,0,17,0,0,0,0,0
402,0,8,4,320,210,6,192,0,0,0,0
403,0,8,1,159,0,17,192,0,0,0,0
404,0,8,3,240,203,6,192,0,0,0,0
405,0,8,3,240,204,6,192,0,0,0,0
406,0,8,3,273,0,17,192,0,0,0,0
407,0,8,3,273,0,17,192,0,0,0,0
408,8,0,1,344,0,17,0,0,0,0,0
409,0,8,1,69,184,6,192,0,0,0,0
410,0,8,1,159,0,17,192,0,0,0,0
411,0,8,3,240,215,6,192,0,0,0,0
412,0,8,3,240,211,6,192,0,0,0,0
413,0,8,3,240,213,6,192,0,0,0,0
414,0,8,1,94,0,17,192,0,0,0,0
415,0,8,1,94,0,17,192,0,0,0,0
416,0,8,2,160,104,6,192,0,0,0,0
417,0,8,1,91,0,17,192,0,0,0,0
418,0,8,1,91,0,17,192,0,0,0,0
419,0,8,1,90,0,17,192,0,0,0,0
420,0,8,1,90,0,17,192,0,0,0,0
421,8,0,1,66,0,17,0,0,0,0,0
422,8,0,1,66,0,17,0,0,0,0,0
423,0,8,1,66,0,17,0,0,0,0,0
424,0,8,1,66,0,17,0,0,0,0,0
425,0,8,2,160,238,6,192,0,0,0,0
426,0,8,2,160,176,6,192,0,0,0,0
427,8,0,1,63,0,17,0,0,0,0,0
428,8,0,1,63,0,17,0,0,0,0,0
429,0,8,1,63,0,17,0,0,0,0,0
430,0,8,1,63,0,17,0,0,0,0,0
431,8,0,1,62,0,17,0,0,0,0,0
432,0,8,1,78,0,17,0,0,0,0,0
433,0,8,1,91,0,17,192,0,0,0,0
434,0,8,1,91,0,17,192,0,0,0,0
435,8,0,1,62,0,17,0,0,0,0,0
436,0,8,1,78,0,17,0,0,0,0,0
437,0,8,1,90,0,17,192,0,0,0,0
438,8,0,1,63,0,17,0,0,0,0,0
439,8,0,1,63,0,17,0,0,0,0,0
440,0,8,1,63,0,17,0,0,0,0,0
441,0,8,1,63,0,17,0,0,0,0,0
442,0,8,1,90,0,17,192,0,0,0,0
443,0,8,1,91,0,17,192,0,0,0,0
444,8,0,1,63,0,17,0,0,0,0,0
445,8,0,1,63,0,17,0,0,0,0,0
446,0,8,1,63,0,17,0,0,0,0,0
447,0,8,1,63,0,17,0,0,0,0,0
448,0,8,1,159,0,17,192,0,0,0,0
449,8,0,1,68,0,17,0,0,0,0,0
450,0,8,1,68,0,17,0,0,0,0,0
451,0,8,1,96,0,17,192,0,0,0,0
452,0,8,1,80,157,6,192,0,0,0,0
453,0,8,2,160,150,6,192,0,0,0,0
454,0,8,1,96,0,17,192,0,0,0,0
455,8,0,1,63,0,17,0,0,0,0,0
456,0,8,1,63,0,17,0,0,0,0,0
457,0,8,9,448,18,6,0,0,0,0,0
458,0,8,1,91,0,17,192,0,0,0,0
459,0,8,2,160,146,6,192,0,0,0,0
460,0,8,3,240,76,6,192,0,0,0,0
461,8,0,1,68,0,17,0,0,0,0,0
462,0,8,1,68,0,17,0,0,0,0,0
463,0,8,1,93,0,17,192,0,0,0,0
464,0,8,1,93,0,17,192,0,0,0,0
465,0,8,3,240,194,6,192,0,0,0,0
466,8,0,1,65,0,17,0,0,0,0,0
467,8,0,1,65,0,17,0,0,0,0,0
468,0,8,1,65,0,17,0,0,0,0,0
469,0,8,1,65,0,17,0,0,0,0,0
470,0,8,1,159,0,17,192,0,0,0,0
471,0,8,1,80,167,6,192,0,0,0,0
472,0,8,1,80,168,6,192,0,0,0,0
473,0,8,1,93,0,17,192,0,0,0,0
474,0,8,1,93,0,17,192,0,0,0,0
